<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.02	00:00:00	119.461	119.579	119.265	119.315	4866	0	100
2012.01.02	04:00:00	119.317	119.409	119.083	119.344	3057	0	55
2012.01.02	08:00:00	119.301	119.504	119.109	119.193	10439	0	50
2012.01.02	12:00:00	119.191	119.267	119.027	119.091	7954	0	50
2012.01.02	16:00:00	119.097	119.273	118.959	119.254	5972	0	50
2012.01.02	20:00:00	119.241	119.302	119.033	119.253	5043	0	70
2012.01.03	00:00:00	119.252	119.417	119.217	119.343	6171	0	80
2012.01.03	04:00:00	119.342	119.562	119.278	119.378	6122	0	80
2012.01.03	08:00:00	119.379	119.819	119.371	119.551	14741	0	61
2012.01.03	12:00:00	119.550	119.801	119.466	119.573	13904	0	74
2012.01.03	16:00:00	119.574	120.145	119.574	120.014	15021	0	50
2012.01.03	20:00:00	120.015	120.157	119.865	120.000	7438	0	57
2012.01.04	00:00:00	119.998	120.068	119.784	119.792	7348	0	80
2012.01.04	04:00:00	119.793	119.932	119.768	119.931	6560	0	50
2012.01.04	08:00:00	119.930	120.067	119.669	119.813	13826	0	50
2012.01.04	12:00:00	119.813	119.935	119.579	119.877	15790	0	50
2012.01.04	16:00:00	119.878	119.953	119.656	119.791	13431	0	50
2012.01.04	20:00:00	119.790	119.836	119.687	119.764	7307	0	57
2012.01.05	00:00:00	119.755	119.809	119.620	119.725	7394	0	88
2012.01.05	04:00:00	119.724	119.756	119.594	119.627	6870	0	80
2012.01.05	08:00:00	119.628	119.923	119.337	119.432	15603	0	51
2012.01.05	12:00:00	119.431	119.479	119.162	119.388	16288	0	50
2012.01.05	16:00:00	119.387	119.555	119.237	119.523	13234	0	55
2012.01.05	20:00:00	119.521	119.687	119.404	119.462	7826	0	80
2012.01.06	00:00:00	119.463	119.634	119.446	119.573	7404	0	80
2012.01.06	04:00:00	119.574	119.651	119.503	119.594	9628	0	50
2012.01.06	08:00:00	119.594	119.708	119.374	119.526	15028	0	50
2012.01.06	12:00:00	119.527	119.698	118.769	118.840	15991	0	50
2012.01.06	16:00:00	118.837	118.921	118.525	118.819	13866	0	50
2012.01.06	20:00:00	118.820	118.840	118.683	118.693	4517	0	55
2012.01.09	00:00:00	118.363	118.641	118.234	118.541	9570	0	80
2012.01.09	04:00:00	118.542	118.686	118.477	118.668	7109	0	50
2012.01.09	08:00:00	118.666	118.847	118.551	118.578	15352	0	50
2012.01.09	12:00:00	118.577	118.849	118.486	118.641	15165	0	50
2012.01.09	16:00:00	118.641	118.820	118.504	118.608	13096	0	50
2012.01.09	20:00:00	118.608	118.803	118.590	118.780	6358	0	53
2012.01.10	00:00:00	118.781	118.872	118.691	118.788	7400	0	100
2012.01.10	04:00:00	118.789	118.895	118.776	118.838	8068	0	80
2012.01.10	08:00:00	118.839	119.032	118.695	118.829	12694	0	80
2012.01.10	12:00:00	118.828	118.978	118.695	118.947	11972	0	80
2012.01.10	16:00:00	118.946	119.028	118.813	118.910	10543	0	80
2012.01.10	20:00:00	118.909	119.008	118.851	118.925	5273	0	80
2012.01.11	00:00:00	118.923	118.953	118.798	118.820	5870	0	100
2012.01.11	04:00:00	118.819	118.935	118.780	118.919	5655	0	80
2012.01.11	08:00:00	118.918	119.079	118.636	118.783	11717	0	80
2012.01.11	12:00:00	118.781	118.822	118.200	118.226	15323	0	50
2012.01.11	16:00:00	118.224	118.298	117.696	117.770	14104	0	50
2012.01.11	20:00:00	117.770	117.837	117.686	117.800	5469	0	57
2012.01.12	00:00:00	117.801	117.853	117.694	117.739	6147	0	100
2012.01.12	04:00:00	117.738	117.822	117.628	117.821	5792	0	80
2012.01.12	08:00:00	117.820	118.029	117.555	117.944	14727	0	50
2012.01.12	12:00:00	117.945	118.096	117.575	117.680	15013	0	50
2012.01.12	16:00:00	117.678	117.739	117.489	117.672	10902	0	80
2012.01.12	20:00:00	117.671	117.778	117.614	117.711	5617	0	80
2012.01.13	00:00:00	117.711	117.813	117.653	117.684	5468	0	80
2012.01.13	04:00:00	117.683	118.052	117.679	117.974	7955	0	50
2012.01.13	08:00:00	117.973	118.157	117.521	117.572	13824	0	50
2012.01.13	12:00:00	117.573	117.815	117.512	117.658	14304	0	50
2012.01.13	16:00:00	117.657	117.692	117.269	117.630	11958	0	80
2012.01.13	20:00:00	117.624	117.898	117.574	117.842	5719	0	80
2012.01.16	00:00:00	117.593	117.695	117.461	117.558	6233	0	80
2012.01.16	04:00:00	117.559	117.697	117.519	117.666	5645	0	50
2012.01.16	08:00:00	117.665	117.752	117.357	117.559	12459	0	50
2012.01.16	12:00:00	117.561	117.599	117.432	117.460	10916	0	50
2012.01.16	16:00:00	117.459	117.749	117.420	117.608	9396	0	50
2012.01.16	20:00:00	117.604	117.684	117.507	117.552	3619	0	52
2012.01.17	00:00:00	117.553	117.904	117.538	117.882	6355	0	100
2012.01.17	04:00:00	117.883	117.945	117.764	117.764	7372	0	80
2012.01.17	08:00:00	117.761	118.238	117.617	118.118	13756	0	50
2012.01.17	12:00:00	118.118	118.250	117.766	117.822	15051	0	50
2012.01.17	16:00:00	117.823	117.966	117.805	117.844	10106	0	80
2012.01.17	20:00:00	117.846	117.904	117.666	117.786	6617	0	55
2012.01.18	00:00:00	117.787	117.807	117.602	117.665	7780	0	80
2012.01.18	04:00:00	117.664	117.762	117.524	117.625	7899	0	80
2012.01.18	08:00:00	117.626	118.103	117.540	117.947	16596	0	50
2012.01.18	12:00:00	117.944	118.590	117.792	118.490	15540	0	50
2012.01.18	16:00:00	118.491	118.556	118.235	118.445	13167	0	50
2012.01.18	20:00:00	118.446	118.604	118.370	118.416	8667	0	80
2012.01.19	00:00:00	118.417	118.542	118.319	118.442	7706	0	100
2012.01.19	04:00:00	118.441	118.479	118.344	118.409	6488	0	80
2012.01.19	08:00:00	118.408	118.543	118.294	118.446	12974	0	57
2012.01.19	12:00:00	118.445	118.905	118.372	118.887	13186	0	57
2012.01.19	16:00:00	118.888	119.694	118.789	119.424	15136	0	50
2012.01.19	20:00:00	119.420	119.497	119.273	119.379	7155	0	57
2012.01.20	00:00:00	119.380	119.505	119.285	119.350	6825	0	80
2012.01.20	04:00:00	119.351	119.496	119.320	119.484	6670	0	50
2012.01.20	08:00:00	119.485	119.751	119.222	119.356	14912	0	50
2012.01.20	12:00:00	119.357	119.876	119.172	119.733	15570	0	50
2012.01.20	16:00:00	119.734	119.903	119.429	119.588	11649	0	80
2012.01.20	20:00:00	119.589	119.973	119.530	119.890	5000	0	80
2012.01.23	00:00:00	119.590	119.813	119.463	119.742	7366	0	80
2012.01.23	04:00:00	119.744	119.853	119.694	119.729	7394	0	50
2012.01.23	08:00:00	119.728	119.802	119.512	119.670	15185	0	50
2012.01.23	12:00:00	119.668	120.116	119.547	120.110	16505	0	50
2012.01.23	16:00:00	120.107	120.180	119.720	119.839	13256	0	7
2012.01.23	20:00:00	119.840	119.941	119.692	119.777	6921	0	57
2012.01.24	00:00:00	119.778	119.914	119.714	119.761	6182	0	80
2012.01.24	04:00:00	119.762	119.823	119.607	119.778	8156	0	50
2012.01.24	08:00:00	119.779	120.383	119.664	120.185	14642	0	50
2012.01.24	12:00:00	120.182	121.215	120.114	121.164	15627	0	50
2012.01.24	16:00:00	121.163	121.382	121.023	121.367	14518	0	6
2012.01.24	20:00:00	121.367	121.381	121.160	121.253	6773	0	10
2012.01.25	00:00:00	121.252	121.743	121.221	121.725	9041	0	80
2012.01.25	04:00:00	121.724	121.754	121.472	121.575	7566	0	50
2012.01.25	08:00:00	121.574	121.860	121.200	121.799	15676	0	50
2012.01.25	12:00:00	121.800	122.023	121.311	121.767	14943	0	50
2012.01.25	16:00:00	121.766	121.963	121.202	121.443	15564	0	50
2012.01.25	20:00:00	121.442	121.804	121.435	121.595	11314	0	80
2012.01.26	00:00:00	121.594	121.765	121.581	121.728	6572	0	80
2012.01.26	04:00:00	121.727	121.742	121.450	121.491	8810	0	50
2012.01.26	08:00:00	121.491	121.828	121.405	121.688	15584	0	50
2012.01.26	12:00:00	121.689	121.842	121.499	121.503	16252	0	50
2012.01.26	16:00:00	121.503	121.774	121.283	121.544	15572	0	50
2012.01.26	20:00:00	121.543	121.562	121.391	121.466	6679	0	19
2012.01.27	00:00:00	121.467	121.550	121.127	121.310	8043	0	80
2012.01.27	04:00:00	121.311	121.369	120.503	120.857	10212	0	50
2012.01.27	08:00:00	120.859	121.097	120.720	120.916	16237	0	50
2012.01.27	12:00:00	120.915	121.037	120.505	120.659	15946	0	50
2012.01.27	16:00:00	120.658	120.704	119.994	120.610	15545	0	50
2012.01.27	20:00:00	120.611	120.666	120.549	120.570	5867	0	57
2012.01.30	00:00:00	120.689	120.693	120.487	120.545	6382	0	80
2012.01.30	04:00:00	120.546	120.601	120.198	120.223	7905	0	50
2012.01.30	08:00:00	120.225	120.279	120.004	120.159	14095	0	50
2012.01.30	12:00:00	120.159	120.326	119.612	119.699	15596	0	50
2012.01.30	16:00:00	119.697	119.800	119.570	119.664	14233	0	50
2012.01.30	20:00:00	119.663	119.964	119.613	119.945	6829	0	60
2012.01.31	00:00:00	119.944	120.097	119.729	119.957	8609	0	80
2012.01.31	04:00:00	119.958	120.098	119.837	120.089	9564	0	50
2012.01.31	08:00:00	120.090	120.566	119.963	120.497	15517	0	50
2012.01.31	12:00:00	120.498	120.595	120.190	120.243	13745	0	50
2012.01.31	16:00:00	120.241	120.421	119.959	120.105	15458	0	50
2012.01.31	20:00:00	120.104	120.262	119.981	120.258	6741	0	13
2012.02.01	00:00:00	120.257	120.269	119.942	119.993	7318	0	80
2012.02.01	04:00:00	119.992	120.046	119.875	119.892	6759	0	50
2012.02.01	08:00:00	119.891	120.090	119.556	119.867	16023	0	50
2012.02.01	12:00:00	119.866	120.765	119.787	120.507	14549	0	50
2012.02.01	16:00:00	120.506	120.963	120.484	120.819	13769	0	50
