<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.02	00:00:00	119.461	119.555	119.265	119.533	3229	0	100
2012.01.02	02:00:00	119.532	119.579	119.291	119.315	1637	0	100
2012.01.02	04:00:00	119.317	119.364	119.205	119.257	1687	0	80
2012.01.02	06:00:00	119.155	119.409	119.083	119.344	1370	0	55
2012.01.02	08:00:00	119.301	119.350	119.122	119.253	4642	0	50
2012.01.02	10:00:00	119.254	119.504	119.109	119.193	5797	0	50
2012.01.02	12:00:00	119.191	119.257	119.181	119.211	3544	0	50
2012.01.02	14:00:00	119.211	119.267	119.027	119.091	4410	0	50
2012.01.02	16:00:00	119.097	119.214	118.959	119.118	3424	0	50
2012.01.02	18:00:00	119.133	119.273	119.070	119.254	2548	0	50
2012.01.02	20:00:00	119.241	119.260	119.033	119.155	2362	0	70
2012.01.02	22:00:00	119.148	119.302	119.109	119.253	2681	0	80
2012.01.03	00:00:00	119.252	119.417	119.218	119.238	3210	0	80
2012.01.03	02:00:00	119.237	119.384	119.217	119.343	2961	0	80
2012.01.03	04:00:00	119.342	119.375	119.278	119.338	1790	0	100
2012.01.03	06:00:00	119.339	119.562	119.302	119.378	4332	0	80
2012.01.03	08:00:00	119.379	119.680	119.371	119.573	7087	0	80
2012.01.03	10:00:00	119.572	119.819	119.533	119.551	7654	0	61
2012.01.03	12:00:00	119.550	119.801	119.535	119.685	7082	0	74
2012.01.03	14:00:00	119.684	119.766	119.466	119.573	6822	0	80
2012.01.03	16:00:00	119.574	120.096	119.574	120.001	8475	0	50
2012.01.03	18:00:00	120.002	120.145	119.935	120.014	6546	0	50
2012.01.03	20:00:00	120.015	120.058	119.867	119.895	3892	0	57
2012.01.03	22:00:00	119.896	120.157	119.865	120.000	3546	0	80
2012.01.04	00:00:00	119.998	120.068	119.825	119.830	3905	0	86
2012.01.04	02:00:00	119.831	119.913	119.784	119.792	3443	0	80
2012.01.04	04:00:00	119.793	119.927	119.768	119.890	2428	0	80
2012.01.04	06:00:00	119.891	119.932	119.817	119.931	4132	0	50
2012.01.04	08:00:00	119.930	120.067	119.762	119.853	6555	0	51
2012.01.04	10:00:00	119.852	119.991	119.669	119.813	7271	0	50
2012.01.04	12:00:00	119.813	119.854	119.609	119.692	7699	0	50
2012.01.04	14:00:00	119.691	119.935	119.579	119.877	8091	0	50
2012.01.04	16:00:00	119.878	119.953	119.656	119.869	8079	0	50
2012.01.04	18:00:00	119.868	119.918	119.734	119.791	5352	0	50
2012.01.04	20:00:00	119.790	119.836	119.711	119.813	3583	0	57
2012.01.04	22:00:00	119.812	119.833	119.687	119.764	3724	0	80
2012.01.05	00:00:00	119.755	119.809	119.620	119.643	3699	0	88
2012.01.05	02:00:00	119.644	119.770	119.641	119.725	3695	0	100
2012.01.05	04:00:00	119.724	119.756	119.662	119.684	2776	0	100
2012.01.05	06:00:00	119.685	119.712	119.594	119.627	4094	0	80
2012.01.05	08:00:00	119.628	119.923	119.459	119.516	7410	0	51
2012.01.05	10:00:00	119.515	119.690	119.337	119.432	8193	0	80
2012.01.05	12:00:00	119.431	119.461	119.162	119.240	7452	0	50
2012.01.05	14:00:00	119.239	119.479	119.163	119.388	8836	0	50
2012.01.05	16:00:00	119.387	119.553	119.237	119.430	7991	0	55
2012.01.05	18:00:00	119.432	119.555	119.328	119.523	5243	0	80
2012.01.05	20:00:00	119.521	119.678	119.435	119.671	4040	0	80
2012.01.05	22:00:00	119.673	119.687	119.404	119.462	3786	0	80
2012.01.06	00:00:00	119.463	119.634	119.446	119.580	4231	0	80
2012.01.06	02:00:00	119.581	119.621	119.562	119.573	3173	0	80
2012.01.06	04:00:00	119.574	119.643	119.545	119.568	3236	0	80
2012.01.06	06:00:00	119.569	119.651	119.503	119.594	6392	0	50
2012.01.06	08:00:00	119.594	119.708	119.496	119.606	7672	0	50
2012.01.06	10:00:00	119.605	119.646	119.374	119.526	7356	0	50
2012.01.06	12:00:00	119.527	119.698	119.329	119.385	6875	0	50
2012.01.06	14:00:00	119.385	119.504	118.769	118.840	9116	0	51
2012.01.06	16:00:00	118.837	118.921	118.525	118.880	8218	0	50
2012.01.06	18:00:00	118.878	118.909	118.753	118.819	5648	0	50
2012.01.06	20:00:00	118.820	118.840	118.696	118.753	3426	0	55
2012.01.06	22:00:00	118.752	118.793	118.683	118.693	1091	0	80
2012.01.09	00:00:00	118.363	118.633	118.234	118.602	5961	0	80
2012.01.09	02:00:00	118.606	118.641	118.465	118.541	3609	0	80
2012.01.09	04:00:00	118.542	118.628	118.477	118.585	2530	0	80
2012.01.09	06:00:00	118.586	118.686	118.581	118.668	4579	0	50
2012.01.09	08:00:00	118.666	118.847	118.551	118.712	7852	0	50
2012.01.09	10:00:00	118.713	118.768	118.565	118.578	7500	0	50
2012.01.09	12:00:00	118.577	118.826	118.486	118.744	7280	0	50
2012.01.09	14:00:00	118.745	118.849	118.527	118.641	7885	0	50
2012.01.09	16:00:00	118.641	118.820	118.533	118.631	7880	0	50
2012.01.09	18:00:00	118.632	118.663	118.504	118.608	5216	0	50
2012.01.09	20:00:00	118.608	118.775	118.590	118.775	3177	0	53
2012.01.09	22:00:00	118.774	118.803	118.673	118.780	3181	0	80
2012.01.10	00:00:00	118.781	118.872	118.691	118.700	3599	0	100
2012.01.10	02:00:00	118.704	118.842	118.694	118.788	3801	0	100
2012.01.10	04:00:00	118.789	118.859	118.776	118.813	3439	0	100
2012.01.10	06:00:00	118.814	118.895	118.806	118.838	4629	0	80
2012.01.10	08:00:00	118.839	118.885	118.695	118.842	6030	0	80
2012.01.10	10:00:00	118.841	119.032	118.756	118.829	6664	0	80
2012.01.10	12:00:00	118.828	118.978	118.740	118.742	5778	0	80
2012.01.10	14:00:00	118.743	118.949	118.695	118.947	6194	0	80
2012.01.10	16:00:00	118.946	119.028	118.813	118.968	6351	0	80
2012.01.10	18:00:00	118.967	119.006	118.831	118.910	4192	0	80
2012.01.10	20:00:00	118.909	118.961	118.851	118.905	2653	0	80
2012.01.10	22:00:00	118.904	119.008	118.867	118.925	2620	0	100
2012.01.11	00:00:00	118.923	118.953	118.828	118.862	2972	0	100
2012.01.11	02:00:00	118.861	118.915	118.798	118.820	2898	0	100
2012.01.11	04:00:00	118.819	118.868	118.780	118.846	1993	0	100
2012.01.11	06:00:00	118.852	118.935	118.833	118.919	3662	0	80
2012.01.11	08:00:00	118.918	119.079	118.839	119.008	5682	0	80
2012.01.11	10:00:00	119.009	119.060	118.636	118.783	6035	0	80
2012.01.11	12:00:00	118.781	118.822	118.238	118.414	7529	0	51
2012.01.11	14:00:00	118.413	118.480	118.200	118.226	7794	0	50
2012.01.11	16:00:00	118.224	118.298	117.766	117.830	8172	0	50
2012.01.11	18:00:00	117.826	117.908	117.696	117.770	5932	0	50
2012.01.11	20:00:00	117.770	117.799	117.686	117.779	3124	0	57
2012.01.11	22:00:00	117.778	117.837	117.741	117.800	2345	0	80
2012.01.12	00:00:00	117.801	117.853	117.724	117.769	2962	0	100
2012.01.12	02:00:00	117.770	117.809	117.694	117.739	3185	0	100
2012.01.12	04:00:00	117.738	117.746	117.628	117.665	2563	0	100
2012.01.12	06:00:00	117.664	117.822	117.664	117.821	3229	0	80
2012.01.12	08:00:00	117.820	117.888	117.555	117.731	6673	0	80
2012.01.12	10:00:00	117.728	118.029	117.628	117.944	8054	0	50
2012.01.12	12:00:00	117.945	118.096	117.851	117.943	7032	0	50
2012.01.12	14:00:00	117.942	117.973	117.575	117.680	7981	0	50
2012.01.12	16:00:00	117.678	117.689	117.489	117.592	6772	0	80
2012.01.12	18:00:00	117.591	117.739	117.560	117.672	4130	0	80
2012.01.12	20:00:00	117.671	117.773	117.636	117.767	2747	0	80
2012.01.12	22:00:00	117.768	117.778	117.614	117.711	2870	0	80
2012.01.13	00:00:00	117.711	117.813	117.653	117.738	2712	0	80
