<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.01.02	00:00:00	1.02010	1.02016	1.01723	1.01859	1380	0	35
2012.01.02	02:00:00	1.01856	1.02002	1.01827	1.01873	1085	0	39
2012.01.02	04:00:00	1.01866	1.01962	1.01824	1.01857	1450	0	43
2012.01.02	06:00:00	1.01915	1.02100	1.01792	1.01914	1650	0	29
2012.01.02	08:00:00	1.01919	1.01944	1.01765	1.01897	2527	0	25
2012.01.02	10:00:00	1.01881	1.02070	1.01814	1.01907	3685	0	29
2012.01.02	12:00:00	1.01917	1.02064	1.01883	1.02020	3104	0	24
2012.01.02	14:00:00	1.02006	1.02042	1.01912	1.02021	3000	0	17
2012.01.02	16:00:00	1.02025	1.02080	1.01928	1.02049	2531	0	16
2012.01.02	18:00:00	1.02033	1.02084	1.01811	1.02027	2119	0	31
2012.01.02	20:00:00	1.02026	1.02026	1.01902	1.01917	1587	0	31
2012.01.02	22:00:00	1.01916	1.01965	1.01775	1.01872	1698	0	35
2012.01.03	00:00:00	1.01873	1.01916	1.01571	1.01582	2634	0	20
2012.01.03	02:00:00	1.01583	1.01621	1.01506	1.01608	1990	0	20
2012.01.03	04:00:00	1.01611	1.01627	1.01460	1.01496	1266	0	20
2012.01.03	06:00:00	1.01507	1.01507	1.01265	1.01335	3959	0	10
2012.01.03	08:00:00	1.01340	1.01394	1.01270	1.01342	4431	0	10
2012.01.03	10:00:00	1.01347	1.01427	1.01110	1.01124	4809	0	10
2012.01.03	12:00:00	1.01125	1.01206	1.00791	1.01146	6789	0	10
2012.01.03	14:00:00	1.01148	1.01257	1.00976	1.01008	6863	0	11
2012.01.03	16:00:00	1.01009	1.01031	1.00756	1.00871	8201	0	10
2012.01.03	18:00:00	1.00872	1.01151	1.00817	1.01074	6496	0	10
2012.01.03	20:00:00	1.01074	1.01140	1.00984	1.01080	4408	0	17
2012.01.03	22:00:00	1.01081	1.01141	1.01020	1.01123	2964	0	20
2012.01.04	00:00:00	1.01117	1.01239	1.01084	1.01208	2877	0	20
2012.01.04	02:00:00	1.01207	1.01368	1.01205	1.01347	2248	0	20
2012.01.04	04:00:00	1.01350	1.01381	1.01219	1.01231	2185	0	20
2012.01.04	06:00:00	1.01234	1.01296	1.01194	1.01204	3372	0	10
2012.01.04	08:00:00	1.01203	1.01388	1.01187	1.01349	7071	0	10
2012.01.04	10:00:00	1.01350	1.01427	1.01180	1.01345	7841	0	10
2012.01.04	12:00:00	1.01337	1.01482	1.01253	1.01441	7611	0	10
2012.01.04	14:00:00	1.01440	1.01611	1.01080	1.01096	8823	0	10
2012.01.04	16:00:00	1.01100	1.01510	1.01090	1.01335	8638	0	10
2012.01.04	18:00:00	1.01336	1.01367	1.01163	1.01268	5783	0	10
2012.01.04	20:00:00	1.01272	1.01343	1.01172	1.01212	4102	0	15
2012.01.04	22:00:00	1.01213	1.01319	1.01203	1.01308	2711	0	20
2012.01.05	00:00:00	1.01308	1.01371	1.01282	1.01365	2494	0	20
2012.01.05	02:00:00	1.01364	1.01460	1.01305	1.01360	3049	0	20
2012.01.05	04:00:00	1.01361	1.01434	1.01347	1.01395	2813	0	20
2012.01.05	06:00:00	1.01394	1.01453	1.01334	1.01352	4141	0	10
2012.01.05	08:00:00	1.01353	1.01629	1.01196	1.01557	6968	0	10
2012.01.05	10:00:00	1.01562	1.01945	1.01534	1.01931	8254	0	10
2012.01.05	12:00:00	1.01932	1.01977	1.01677	1.01704	7799	0	10
2012.01.05	14:00:00	1.01705	1.02122	1.01353	1.01903	9147	0	12
2012.01.05	16:00:00	1.01894	1.02243	1.01824	1.01961	9805	0	10
2012.01.05	18:00:00	1.01963	1.01989	1.01677	1.01746	6055	0	10
2012.01.05	20:00:00	1.01748	1.01933	1.01734	1.01909	4675	0	20
2012.01.05	22:00:00	1.01909	1.02015	1.01856	1.01955	2645	0	20
2012.01.06	00:00:00	1.01952	1.02024	1.01908	1.01909	2444	0	20
2012.01.06	02:00:00	1.01907	1.01926	1.01815	1.01825	2496	0	20
2012.01.06	04:00:00	1.01824	1.02005	1.01816	1.02003	2370	0	20
2012.01.06	06:00:00	1.02005	1.02108	1.01911	1.01939	3786	0	10
2012.01.06	08:00:00	1.01946	1.01996	1.01698	1.01727	6872	0	10
2012.01.06	10:00:00	1.01730	1.01919	1.01686	1.01879	6973	0	10
2012.01.06	12:00:00	1.01878	1.02150	1.01728	1.02147	7032	0	10
2012.01.06	14:00:00	1.02148	1.02485	1.01870	1.02428	9701	0	10
2012.01.06	16:00:00	1.02427	1.02475	1.02256	1.02294	7948	0	10
2012.01.06	18:00:00	1.02293	1.02699	1.02292	1.02559	6339	0	10
2012.01.06	20:00:00	1.02556	1.02677	1.02552	1.02670	3728	0	19
2012.01.06	22:00:00	1.02669	1.02848	1.02650	1.02830	1596	0	20
2012.01.09	00:00:00	1.02940	1.03076	1.02840	1.03001	3712	0	20
2012.01.09	02:00:00	1.03002	1.03129	1.02935	1.03027	3643	0	20
2012.01.09	04:00:00	1.03030	1.03178	1.03016	1.03075	3082	0	20
2012.01.09	06:00:00	1.03086	1.03149	1.03008	1.03037	4109	0	10
2012.01.09	08:00:00	1.03039	1.03039	1.02742	1.02762	7725	0	10
2012.01.09	10:00:00	1.02760	1.02959	1.02717	1.02872	7758	0	10
2012.01.09	12:00:00	1.02872	1.02983	1.02699	1.02750	7273	0	10
2012.01.09	14:00:00	1.02753	1.02817	1.02466	1.02695	9031	0	10
2012.01.09	16:00:00	1.02693	1.02944	1.02534	1.02725	9001	0	10
2012.01.09	18:00:00	1.02722	1.02753	1.02570	1.02575	5556	0	10
2012.01.09	20:00:00	1.02582	1.02597	1.02249	1.02271	4259	0	19
2012.01.09	22:00:00	1.02272	1.02393	1.02272	1.02355	2160	0	20
2012.01.10	00:00:00	1.02359	1.02372	1.02145	1.02234	2714	0	35
2012.01.10	02:00:00	1.02233	1.02259	1.02118	1.02169	2389	0	35
2012.01.10	04:00:00	1.02168	1.02168	1.01940	1.01949	2877	0	20
2012.01.10	06:00:00	1.01954	1.01962	1.01830	1.01906	3781	0	10
2012.01.10	08:00:00	1.01907	1.02095	1.01889	1.01960	6234	0	10
2012.01.10	10:00:00	1.01961	1.02001	1.01816	1.01864	7729	0	10
2012.01.10	12:00:00	1.01865	1.01879	1.01617	1.01698	6810	0	10
2012.01.10	14:00:00	1.01699	1.01839	1.01551	1.01795	7738	0	10
2012.01.10	16:00:00	1.01790	1.01943	1.01570	1.01607	7593	0	10
2012.01.10	18:00:00	1.01607	1.01814	1.01563	1.01648	5615	0	10
2012.01.10	20:00:00	1.01639	1.01683	1.01532	1.01670	3761	0	20
2012.01.10	22:00:00	1.01670	1.01697	1.01507	1.01665	2597	0	20
2012.01.11	00:00:00	1.01664	1.01814	1.01586	1.01781	2379	0	20
2012.01.11	02:00:00	1.01782	1.01853	1.01733	1.01794	2710	0	20
2012.01.11	04:00:00	1.01793	1.01818	1.01713	1.01747	1852	0	20
2012.01.11	06:00:00	1.01746	1.01793	1.01572	1.01581	3309	0	10
2012.01.11	08:00:00	1.01582	1.01645	1.01390	1.01445	5228	0	35
2012.01.11	10:00:00	1.01444	1.01541	1.01382	1.01510	5587	0	35
2012.01.11	12:00:00	1.01508	1.01783	1.01477	1.01608	6694	0	10
2012.01.11	14:00:00	1.01606	1.02047	1.01531	1.02046	8257	0	10
2012.01.11	16:00:00	1.02045	1.02091	1.01819	1.01921	8764	0	10
2012.01.11	18:00:00	1.01920	1.02028	1.01825	1.01955	6169	0	10
2012.01.11	20:00:00	1.01952	1.01981	1.01860	1.01915	4315	0	20
2012.01.11	22:00:00	1.01914	1.01940	1.01772	1.01864	2361	0	20
2012.01.12	00:00:00	1.01871	1.01920	1.01782	1.01856	2250	0	20
2012.01.12	02:00:00	1.01857	1.01911	1.01754	1.01765	2834	0	20
2012.01.12	04:00:00	1.01768	1.01872	1.01768	1.01846	2104	0	20
2012.01.12	06:00:00	1.01847	1.01865	1.01792	1.01812	3212	0	10
2012.01.12	08:00:00	1.01813	1.01914	1.01764	1.01822	5990	0	10
2012.01.12	10:00:00	1.01823	1.01904	1.01522	1.01574	8039	0	10
2012.01.12	12:00:00	1.01573	1.01668	1.01385	1.01581	6738	0	10
2012.01.12	14:00:00	1.01582	1.01887	1.01550	1.01665	9086	0	10
2012.01.12	16:00:00	1.01664	1.02094	1.01630	1.01958	7655	0	10
